isbn,inrIsbn,inrIsbn10,format,currency,price,distributor1id,distributor2id,distributor3id,division,subject,status
9780415111201,,,PB,INR,350.00,902A17,,,Social Sciences,Politics,Print on Demand
9781859411346,,,PB,INR,595.00,902A17,,,Social Sciences,Law,Print on Demand
9780415045575,,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415045865,,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415046152,,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415104548,,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780419258308,,,PB,INR,895.00,902A04,,,CRC,Civil & Mechanical Engineering,AVAILABLE
9780748740697,,,PB,INR,495.00,902A04,,,CRC,Chemistry,Print on Demand
9781444184976,9781444184990,1444184997,PB,GBP,21.99,902A67,,,CRC,Pathology,AVAILABLE
9781444174311,9781482260397,1482260395,PB,GBP,17.99,902A67,,,CRC,Orthopedics,AVAILABLE
9780765644510,9781138281097,1138281093,PB,INR,895.00,902A12,,,Social Sciences,Sales,Auto Stock Replenishment
9781138933590,9781138281127,1138281123,PB,INR,495.00,902A12,,,Humanities,English for Academic Purposes and English for Specific Purposes,AVAILABLE
9781292060460,9781138281080,1138281085,PB,INR,995.00,902A12,,,Social Sciences,Marketing,Print on Demand
9780415783026,9781138236240,1138236241,PB,INR,995.00,902A12,,,Humanities,Literature & Culture,Print on Demand
9780415114394,9781138281103,1138281107,PB,INR,350.00,902A12,,,Humanities,Literature,Print on Demand
9780415974103,9781138284142,1138284149,PB,INR,595.00,902A12,,,Humanities,Literature,Out Of Print
9780415655965,9781138236233,1138236233,PB,INR,595.00,902A12,,,Humanities,Linguistics,Auto Stock Replenishment
9780582506336,9781138292819,1138292818,PB,INR,495.00,902A12,,,Humanities,English Language Teaching,Reprinting
9780415847469,9781138292833,1138292834,PB,INR,495.00,902A12,,,Social Sciences,English Language Teaching,AVAILABLE
9780824709884,9781498797832,1498797830,HB,INR,5995.00,902A14,,,CRC,Science,Print on Demand
9780849340659,9781498797993,1498797997,HB,INR,4995.00,902A14,,,CRC,Science,AVAILABLE
9780849373923,9781498798006,1498798004,HB,INR,3995.00,902A14,,,CRC,Science,AVAILABLE
9780849382123,9781498798020,1498798020,HB,INR,3995.00,902A14,,,CRC,Science,Print on Demand
9780849398995,9781498798068,1498798063,HB,INR,6995.00,902A14,,,CRC,Science,Print on Demand
9781420051599,9781498798082,149879808X,HB,INR,3995.00,902A14,,,CRC,Science,Print on Demand
9781420062991,9781498798099,1498798098,HB,INR,5995.00,902A14,,,CRC,Science,Print on Demand
9781420063677,9781498797733,1498797733,HB,INR,2995.00,902A14,,,CRC,Science,AVAILABLE
9781420065176,9781498797740,1498797741,HB,INR,2995.00,902A14,,,CRC,Science,Print on Demand
9781420091533,9781498797757,149879775X,HB,INR,2995.00,902A14,,,CRC,Science,AVAILABLE
9781439800591,9781498798143,1498798144,HB,INR,3995.00,902A14,,,CRC,Science,Print on Demand
9781439861226,9781498798174,1498798179,HB,INR,4995.00,902A14,,,CRC,Science,Print on Demand
9781466515680,9781498798204,1498798209,HB,INR,5995.00,902A14,,,CRC,Science,AVAILABLE
9781466573321,9781498798228,1498798225,PB,INR,3995.00,902A14,,,CRC,Science,Print on Demand
9781574446937,9781498798242,1498798241,HB,INR,5995.00,902A14,,,CRC,Science,Print on Demand
9781584885283,9781498797771,1498797776,HB,INR,2995.00,902A14,,,CRC,Science,AVAILABLE
9781584885467,9781498797795,1498797792,HB,INR,2995.00,902A14,,,CRC,Science,Print on Demand
